id,user_id,applicant_id,rating,add_timestamp
635,30,3,100,9/7/23 7:10
636,46,8,72,9/7/23 7:10
638,61,11,100,9/7/23 7:10
639,64,11,94,9/7/23 7:10
640,38,8,60,9/7/23 7:10
641,42,4,47,9/7/23 7:10
642,69,8,63,9/7/23 7:10
643,49,6,44,9/7/23 7:10
644,37,1,100,9/7/23 7:10
645,72,7,88,9/7/23 7:11
646,53,9,95,9/7/23 7:11
647,44,10,74,9/7/23 7:11
648,67,11,80,9/7/23 7:11
649,43,8,65,9/7/23 7:11
650,41,4,47,9/7/23 7:11
651,38,4,50,9/7/23 7:11
652,24,3,40,9/7/23 7:11
653,22,5,88,9/7/23 7:12
654,58,3,92,9/7/23 7:12
655,72,8,60,9/7/23 7:12
656,69,5,94,9/7/23 7:12
657,41,6,50,9/7/23 7:12
658,3,6,90,9/7/23 7:12
659,61,6,72,9/7/23 7:12
660,64,6,68,9/7/23 7:12
661,71,4,49,9/7/23 7:12
662,34,9,83,9/7/23 7:12
663,60,10,85,9/7/23 7:12
664,21,11,100,9/7/23 7:13
665,45,2,65,9/7/23 7:13
666,72,12,45,9/7/23 7:13
667,8,3,80,9/7/23 7:13
669,65,9,100,9/7/23 7:14
670,51,9,75,9/7/23 7:14
671,69,10,62,9/7/23 7:14
672,72,11,94,9/7/23 7:14
673,49,3,87,9/7/23 7:14
674,41,2,50,9/7/23 7:14
675,44,3,86,9/7/23 7:14
676,46,1,96,9/7/23 7:14
677,60,8,80,9/7/23 7:14
678,41,9,73,9/7/23 7:14
679,58,7,83,9/7/23 7:14
680,44,4,62,9/7/23 7:15
681,73,7,85,9/7/23 7:15
682,72,3,86,9/7/23 7:15
683,75,11,93,9/7/23 7:15
684,37,2,92,9/7/23 7:15
685,22,9,80,9/7/23 7:15
686,61,9,76,9/7/23 7:15
687,64,9,78,9/7/23 7:15
688,57,8,60,9/7/23 7:16
689,63,12,75,9/7/23 7:16
690,72,2,45,9/7/23 7:16
692,49,2,38,9/7/23 7:16
693,69,9,96,9/7/23 7:16
694,43,7,80,9/7/23 7:16
695,41,11,49,9/7/23 7:16
